,Unnamed: 0,question,answer,chapter,complexity,prediction,bert_score,rouge_score
0,0,O que é o conselho diretor?,"O conselho diretor é um órgão angariador de recursos, supervisor da gestão econômico-financeira e responsável principal pelas relações entre a Universidade e a Comunidade",t2c1,short,"O Conselho Diretor é um órgão responsável pela administração da Fundação, sendo encarregado de angariar recursos, supervisionar a gestão econômico-financeira e ser o principal responsável pelas relações entre a Universidade e a Comunidade.","(tensor([0.8463]), tensor([0.9136]), tensor([0.8787]))","{'rouge-1': {'r': 0.8181818181818182, 'p': 0.6206896551724138, 'f': 0.7058823480353712}, 'rouge-2': {'r': 0.4782608695652174, 'p': 0.34375, 'f': 0.39999999513388435}, 'rouge-l': {'r': 0.7272727272727273, 'p': 0.5517241379310345, 'f': 0.6274509754863514}}"
1,1,Quanto ganha o conselho diretor?,"Os membros do Conselho Diretor não terão direito a remuneração, podendo, entretanto, perceber jeton, diárias e transporte, quando necessário, conforme dispuser o Regimento da Fundação",t2c1,short,"Os membros do Conselho Diretor não têm direito a remuneração, mas podem receber jeton, diárias e transporte quando necessário, de acordo com o Regimento da Fundação.","(tensor([0.8909]), tensor([0.8626]), tensor([0.8765]))","{'rouge-1': {'r': 0.72, 'p': 0.6923076923076923, 'f': 0.7058823479430989}, 'rouge-2': {'r': 0.5416666666666666, 'p': 0.52, 'f': 0.5306122399000418}, 'rouge-l': {'r': 0.72, 'p': 0.6923076923076923, 'f': 0.7058823479430989}}"
2,2,Quem faz parte do conselho universitário?,"Integram o Conselho Universitário: I o Reitor, seu Presidente; II o Vice-Reitor; III os Pró-Reitores; IV os Diretores das Unidades Universitárias; V dois representantes dos órgãos de Segundo Grau; VI dois representantes de cada classe da carreira do magistério; VII dois representantes dos auxiliares de ensino; VIII dois coordenadores do Conselho Coordenador do Ensino da Pesquisa e da Extensão ; IX três representantes designados pelo Conselho Diretor da Fundação, dentre nomes que lhe sejam indicados pela comunidade;X representação Discente, na forma da lei; XI sete representantes do servidores Técnico-Administrativos.",t2c2,medium,"O Conselho Universitário é composto pelo Reitor (que também é o Presidente do Conselho), Vice-Reitor, Pró-Reitores, Diretores das Unidades Universitárias, representantes dos órgãos de Segundo Grau, representantes de cada classe da carreira do magistério, representantes dos auxiliares de ensino, coordenadores do Conselho Coordenador do Ensino da Pesquisa e da Extensão, representantes designados pelo Conselho Diretor da Fundação, representação Discente e representantes dos servidores Técnico-Administrativos.","(tensor([0.8698]), tensor([0.7951]), tensor([0.8308]))","{'rouge-1': {'r': 0.417910447761194, 'p': 0.6222222222222222, 'f': 0.499999995192921}, 'rouge-2': {'r': 0.35294117647058826, 'p': 0.4918032786885246, 'f': 0.41095889924469886}, 'rouge-l': {'r': 0.417910447761194, 'p': 0.6222222222222222, 'f': 0.499999995192921}}"
3,3,Quanto tempo dura o mandato do Conselho Coordenador do Ensino da Pesquisa e da Extensão?,"Os mandatos dos conselheiros previsto nos itens III e IV terão o prazo de 2 dois anos, podendo ser reconduzidos e os dos previstos no item V, coincidirão com o prazo de mandato eleitoral discente.",t2c3,short,O mandato do Conselho Coordenador do Ensino da Pesquisa e da Extensão tem a duração de dois anos.,"(tensor([0.6877]), tensor([0.5663]), tensor([0.6211]))","{'rouge-1': {'r': 0.13333333333333333, 'p': 0.25, 'f': 0.173913038941399}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.1, 'p': 0.1875, 'f': 0.13043477807183385}}"
4,4,O que é necessário para marcar as sessões do conselho superior?,"A convocação para as sessões ordinárias e extraordinárias será feita com antecedência mínima de 24(vinte e quatro) horas pela respectiva Secretaria, mediante ofício entregue pessoalmente, contendo a matéria da ordem do dia e cópia da ata da sessão anterior.",t2c4,short,"Para marcar as sessões do Conselho Superior, é necessário que o respectivo Presidente ou 2/3 (dois terços) da totalidade de seus membros façam uma petição fundamentada e devidamente assinada, dirigida à Presidência do Conselho. Caso o Presidente se recuse a convocar a sessão, ela poderá ser convocada pelo seu substituto legal ou pelo Conselheiro mais antigo no magistério da Universidade, sucessivamente, e no caso de idêntica antiguidade, pelo mais idoso.","(tensor([0.5888]), tensor([0.6424]), tensor([0.6145]))","{'rouge-1': {'r': 0.2, 'p': 0.12280701754385964, 'f': 0.15217390832939523}, 'rouge-2': {'r': 0.02631578947368421, 'p': 0.014705882352941176, 'f': 0.018867919928801404}, 'rouge-l': {'r': 0.2, 'p': 0.12280701754385964, 'f': 0.15217390832939523}}"
5,5,Quanto tempo os relatores tem para lavratura de seus pareceres?,"Os relatores terão o prazo máximo de 20(vinte) dias para lavratura de seus pareceres, quando obrigatoriamente deverão devolver os processos, a fim de que sejam tomadas as providências cabíveis a espécies",t2c4,short,Os relatores têm o prazo máximo de 20 (vinte) dias para lavratura de seus pareceres.,"(tensor([0.9294]), tensor([0.7333]), tensor([0.8198]))","{'rouge-1': {'r': 0.35714285714285715, 'p': 0.7142857142857143, 'f': 0.47619047174603185}, 'rouge-2': {'r': 0.26666666666666666, 'p': 0.5714285714285714, 'f': 0.3636363592975207}, 'rouge-l': {'r': 0.35714285714285715, 'p': 0.7142857142857143, 'f': 0.47619047174603185}}"
6,6,Qual a atribuição do Secretário dos Conselhos Superiores da Universidade,I processar o expediente dos Conselhos; II redigir e enviar a correspondência; III organizar a ordem do dia das sessões; IV expedir e fazer entregar as convocações com a antecedência mínima prevista neste Regimento; V organizar e manter em ordem os arquivos; VI secretariar as sessões; VII assessorar as Comissões; VIII lavrar as atas; IX enviar as decisões para publicação no Boletim da Universidade; X providenciar na publicação da ata; XI exercer as demais atribuições conexas com suas funções.,t2c5,short,"A atribuição do Secretário dos Conselhos Superiores da Universidade é processar o expediente dos Conselhos, redigir e enviar a correspondência, organizar a ordem do dia das sessões, expedir e fazer entregar as convocações, organizar e manter em ordem os arquivos, secretariar as sessões, assessorar as Comissões, lavrar as atas, enviar as decisões para publicação no Boletim da Universidade e providenciar na publicação da ata.","(tensor([0.8839]), tensor([0.8273]), tensor([0.8546]))","{'rouge-1': {'r': 0.49206349206349204, 'p': 0.6739130434782609, 'f': 0.5688073345711641}, 'rouge-2': {'r': 0.4230769230769231, 'p': 0.532258064516129, 'f': 0.47142856649387754}, 'rouge-l': {'r': 0.49206349206349204, 'p': 0.6739130434782609, 'f': 0.5688073345711641}}"
7,7,O que acontece quando há vacância no cargo de reitor e vice-reitor,"Vagando ambos os cargos, a Reitoria será exercida pelo professor mais antigo na carreira do magistério , dentre os membros do Conselho Universitário e, em caso de idêntica antigüidade, pelo mais idoso, o qual procederá na forma do artigo anterior.",t2c6,short,"Quando há vacância no cargo de reitor e vice-reitor, a Reitoria será exercida pelo professor mais antigo na carreira do magistério, dentre os membros do Conselho Universitário. Em caso de idêntica antiguidade, a Reitoria será exercida pelo professor mais idoso.","(tensor([0.7733]), tensor([0.7800]), tensor([0.7766]))","{'rouge-1': {'r': 0.5588235294117647, 'p': 0.6129032258064516, 'f': 0.5846153796260355}, 'rouge-2': {'r': 0.4358974358974359, 'p': 0.5151515151515151, 'f': 0.47222221725694447}, 'rouge-l': {'r': 0.47058823529411764, 'p': 0.5161290322580645, 'f': 0.4923076873183432}}"
8,8,Quais as atribuições da Pró-Reitoria de Graduação?,"Art.65 – A Pró-Reitoria de Graduação, exercida pelo Pró-Reitor respectivo, compreende os órgãos responsáveis pelos serviços gerais de natureza escolar e assistência estudantil, cabendo-lhe entre outras atribuições, as seguintes: I Executar a política definida pelo Conselho Coordenador do Ensino da Pesquisa e da Extensão, em matéria de graduação; II promover a integração das atividades de ensino de graduação; III orientar e coordenar as atividades acadêmicas de graduação, respeitada a competência de outros órgãos; IV praticar os atos acadêmicos vinculados a graduação; V proceder a coleta sistemática e permanente de dados capazes de permitir a avaliação quantitativa e qualitativa do ensino de graduação;l VI manter estreita vinculação com os demais órgãos da Universidade, fornecendo-lhes subsídios para o desenvolvimento de suas atividades; VII elaborar e coordenar estudos especializados, no âmbito de graduação; VIII elaborar e manter atualizado o catálago dos cursos de graduação IX tomar providências que facilitem a administração de recursos orçamentários postos a disposição do ensino de graduação; X elaborar e manter atualizado o cadastro do corpo docente da Universidade; XI opinar sobre admissão de docentes; XII propor ao Reitor a realização de concursos para provimento do magistério superior; XIII programar e organizar os atos de colação de grau; XIV organizar e manter atualizados os registros dos cursos e atividades escolares; XV manter o serviço central de matrícula, com cadastro da vida escolar do aluno;XVI manter e aperfeiçoar o setor de registro de diplomas; XVII incentivar a execução de programas que visem à formação cívica nos cursos de graduação; XVIII elaborar, anualmente, o calendário escolar, em conjunto com a Pró-Reitoria de Pesquisa e Pós-Graduação; XIX executar a política definida pelos órgãos superiores na área de assistência à comunidade universitária; XX propiciar os meios indispensáveis à realização do bem estar da comunidade universitária;XXI distribuir e controlar as verbas destinadas aos órgãos estudatís; XXII estabelecer normas, convocar e supervisionar eleições dos representantes do corpo discente para os órgãos de deliberação coletiva da instituição; XXIII coordenar e manter contato com a representação estudantil naquilo que não for da competência dos mesmos; XXIV organizar e supervisionar os serviços de alojamento, alimentação e recreação do corpo discente; XXV promover a distribuição de bolsas-trabalho, estágios e empregos ao corpo discente; XXVI manter o cadastro de oportunidades de estágios na Universidade empresas e órgãos públicos; XXVII prestar informações e divulgar entre o corpo discente as oportunidades de emprego; XXVIII manter o cadastro de candidatos a bolsas, estágios e empregos; XXIX administrar o plano de benefícios aos estudantes carentes; XXX apurar as condições sócio-econômicas dos estudantes.",t2c6,long,"As atribuições da Pró-Reitoria de Graduação são: 
- Executar a política definida pelo Conselho Coordenador do Ensino da Pesquisa e da Extensão, em matéria de graduação;
- Promover a integração das atividades de ensino de graduação;
- Orientar e coordenar as atividades acadêmicas de graduação, respeitada a competência de outros órgãos;
- Praticar os atos acadêmicos vinculados à graduação;
- Proceder a coleta sistemática e permanente de dados capazes de permitir a avaliação quantitativa e qualitativa do ensino de graduação;
- Manter estreita vinculação com os demais órgãos da Universidade, fornecendo-lhes subsídios para o desenvolvimento de suas atividades;
- Elaborar e coordenar estudos especializados, no âmbito de graduação;
- Elaborar e manter atualizado o catálogo dos cursos de graduação;
- Tomar providências que facilitem a administração de recursos orçamentários postos à disposição do ensino de graduação;
- Elaborar e manter atualizado o cadastro do corpo docente da Universidade;
- Opinar sobre admissão de docentes;
- Propor ao Reitor a realização de concursos para provimento do magistério superior;
- Programar e organizar os atos de colação de grau;
- Organizar e manter atualizados os registros dos cursos e atividades.","(tensor([0.9039]), tensor([0.8810]), tensor([0.8923]))","{'rouge-1': {'r': 0.38493723849372385, 'p': 0.8440366972477065, 'f': 0.5287356278816554}, 'rouge-2': {'r': 0.3157894736842105, 'p': 0.7407407407407407, 'f': 0.44280442385316116}, 'rouge-l': {'r': 0.3807531380753138, 'p': 0.8348623853211009, 'f': 0.5229885014448739}}"
9,9,O que é um departamento dentro da universidade?,"Os Departamentos, reunidos ou não em unidades mais amplas, constituem a menor fração da estrutura universitária para todos os efeitos de organização administrativa, didático-científica e de distribuição de pessoal.",t3c1,short,"Um departamento dentro da universidade é uma unidade organizacional que compreende um corpo docente, pessoal técnico-científico e auxiliares, instalações e recursos materiais, serviços de pessoal e administração. Ele é responsável por ministrar o ensino e realizar a pesquisa em seu setor, de forma a satisfazer os interesses científicos e culturais de seu pessoal docente.","(tensor([0.6362]), tensor([0.6784]), tensor([0.6566]))","{'rouge-1': {'r': 0.25925925925925924, 'p': 0.16279069767441862, 'f': 0.1999999952612246}, 'rouge-2': {'r': 0.03571428571428571, 'p': 0.018867924528301886, 'f': 0.024691353500991532}, 'rouge-l': {'r': 0.25925925925925924, 'p': 0.16279069767441862, 'f': 0.1999999952612246}}"
10,10,Quais as atribuilções de um departamento?,"§ 1º – Ao Departamento competirá, especialmente: a) eleger em votação secreta, os integrantes das listas tríplices de que serão escolhidos os respectivos chefe e subchefe; b) elaborar os seus planos de trabalho e a parte que lhe competir no plano anual de atividades universitárias; c) atribuir encargos de ensino, pesquisa e extensão ao pessoal docente que o integre, respeitadas as especializações; d) coordenar o trabalho do pessoal docente, visando a unidade e eficiência do ensino, da pesquisa e extensão; e) adotar ou sugerir, quando for o caso, as providências de ordem didática, científica e administrativa que julgar aconselháveis a boa marcha de seus trabalhos; f) elaborar a lista de ofertas das disciplinas de sua área de atuação, com seus respectivos planos de ensino e programas de concursos docentes; g) aprovar os projetos de pesquisa e os planos de concursos de pós-graduação, de especialização, aperfeiçoamento e extensão que se situem no seu âmbito de atuação; h) adotar providências para o constante aperfeiçoamento de seu pessoal docente; i) emitir pareceres em assuntos de sua competência; j) propor pelo voto de 2/3 (dois terços) de seus membros o afastamento ou a destituição do respectivo chefe; l) propor a admissão do pessoal docente, observadas as disposições estatutárias e regimentais pertinentes; m) todo o pessoal docente participará das reuniões dos Departamentos obrigatoriamente; n) cada Departamento terá um representante discente, matriculado pelo menos em uma de suas disciplinas.",t3c1,medium,"As atribuições de um departamento são: ministrar o ensino e realizar a pesquisa em seu setor, satisfazendo os interesses científicos e culturais de seu pessoal docente; administrar e representar o departamento; convocar e presidir as reuniões do departamento; submeter o plano das atividades a serem desenvolvidas em cada período letivo à consideração do departamento; fiscalizar a observância do regime escolar, o cumprimento dos programas de ensino e a execução dos demais planos de trabalho; verificar a frequência do pessoal lotado no departamento e comunicá-la ao diretor da unidade; coordenar os cursos de pós-graduação, aperfeiçoamento e extensão, bem como os projetos de pesquisa do departamento; assinar os certificados correspondentes aos cursos mencionados e a disciplinas isoladas; zelar pela ordem no âmbito do departamento e adotar as medidas necessárias para isso; apresentar ao diretor da unidade, após a apreciação do departamento, o relatório das atividades departamentais e sugerir providências para a maior eficiência dos trabalhos; cumprir e fazer cumprir as deliberações do departamento, bem como os atos e decisões dos órgãos a que esteja subordinado; cumprir e fazer cumprir as disposições do Estatuto e dos Regimentos universitários; solicitar recursos em pessoal e material ao órgão competente da administração universitária; adotar medidas de competência do departamento em casos de urgência, submetendo o ato à ratificação do departamento dentro de um prazo de três dias; distribuir e redistribuir o pessoal técnico-administrativo no departamento.","(tensor([0.6890]), tensor([0.6814]), tensor([0.6852]))","{'rouge-1': {'r': 0.2653061224489796, 'p': 0.29770992366412213, 'f': 0.28057553458490764}, 'rouge-2': {'r': 0.07692307692307693, 'p': 0.08133971291866028, 'f': 0.0790697624457548}, 'rouge-l': {'r': 0.12244897959183673, 'p': 0.13740458015267176, 'f': 0.12949639789426032}}"
11,11,O que é um instituto?,Os institutos são unidades que atuam no domínio dos conhecimentos fundamentais.,t3c2,short,Um instituto é uma unidade que atua no domínio dos conhecimentos fundamentais.,"(tensor([0.8960]), tensor([0.8771]), tensor([0.8864]))","{'rouge-1': {'r': 0.5454545454545454, 'p': 0.5, 'f': 0.5217391254442345}, 'rouge-2': {'r': 0.4, 'p': 0.36363636363636365, 'f': 0.3809523759637189}, 'rouge-l': {'r': 0.5454545454545454, 'p': 0.5, 'f': 0.5217391254442345}}"
12,12,Quais são os institutos da UFPel?,os Institutos da Universidade Federal de Pelotas: I Instituto de Letras e Artes; II Instituto de Biologia; III Instituto de Ciências Humanas; IV Instituto de Física e Matemática; V Instituto de Química e Geociências; VI Instituto de Sociologia e Política.,t3c2,short,"Os institutos da UFPel são: 
- Instituto de Letras e Artes
- Instituto de Biologia
- Instituto de Ciências Humanas
- Instituto de Física e Matemática
- Instituto de Química e Geociências
- Instituto de Sociologia e Política","(tensor([0.8326]), tensor([0.8396]), tensor([0.8361]))","{'rouge-1': {'r': 0.38461538461538464, 'p': 0.5, 'f': 0.4347826037807184}, 'rouge-2': {'r': 0.3235294117647059, 'p': 0.4074074074074074, 'f': 0.3606557327707606}, 'rouge-l': {'r': 0.38461538461538464, 'p': 0.5, 'f': 0.4347826037807184}}"
13,13,Quais são as faculdades e escolas da UFPel?,as Faculdades e Escolas da Universidade: I Faculdade de Agronomia Eliseu Maciel; II Faculdade de Odontologia; III Faculdade de Direito; IV Faculdade de Veterinária; V Faculdade de Ciências Domésticas; VI Faculdade de Medicina; VII Faculdade de Educação; VIII Faculdade de Arquitetura e Urbanismo; IX Faculdade de Engenharia Agrícola; X Faculdade de Nutrição; XI Faculdade de Meteorologia; XII Faculdade de Enfermagem e Obstetrícia; XIII Conservatório de Música; XIV Escola Superior de Educação Física;,t3c3,medium,Não há informações no contexto fornecido sobre as faculdades e escolas da UFPel.,"(tensor([0.5842]), tensor([0.4326]), tensor([0.4971]))","{'rouge-1': {'r': 0.06521739130434782, 'p': 0.23076923076923078, 'f': 0.10169491181844309}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.06521739130434782, 'p': 0.23076923076923078, 'f': 0.10169491181844309}}"
14,14,Quais as atribuições do conselho departamental?,"Compete ao Conselho Departamental : I elaborar o Regimento da Unidade, encaminhando-o ao Conselho Coordenador do Ensino da Pesquisa e da Extensão, para parecer, e ao Conselho Universitário para aprovação; II apreciar os Regimentos dos Departamentos e órgãos auxiliares, encaminhados pela Direção; III opinar sobre convênios e aceitação de legados ou doações em benefício da Unidade; IV coordenar os planos de trabalho propostos pelos Departamentos; V sugerir medidas e providências relativas ao ensino e à pesquisa; VI propor, mediante voto secreto de 2/3 (dois terços) de seus integrantes, ao Conselho Universitário , para consideração da autoridade superior a destituição do Diretor e ou do Vice-Diretor; VII pronunciar-se sobre qualquer assunto relativo à organização universitária e aos interesses da Unidade ; VIII elaborar, com base na manifestação dos Departamentos, dos recursos orçamentários da Unidade , para apreciação dos órgãos superiores da Unidade; IX promover a distribuição entre os Departamentos, dos recursos orçamentários, instalações, material e pessoal auxiliar de que dispuser a Unidade ; X deliberar sobre as propostas dos Departamentos; XI apreciar, na área de sua competência e em primeira instância, os recursos do Departamento ; XII opinar sobre criação, fusão ou desdobramento de Departamentos; XIII emitir normas unificadoras sobre funcionamento dos Departamentos e sobre o desempenho das funções de chefia; XIV deliberar sobre a prestação de contas do Diretório Acadêmico; XV assessorar o Diretor em todas as tarefas de organização e direção da Unidade ; XVI desempenhar todas as atribuições que lhe forem cometidas por lei; XVII conferir diploma de habilitação profissional em reunião com o respectivo Colegiado de Curso, sob a presidência do Diretor ou Coordenador do Curso; XVIII aprovar, anualmente, as indicações dos Departamentos relativos às designações dos docentes responsáveis por disciplinas; XIX aplicar as sanções disciplinares de sua competência; XX promover o desenvolvimento da pesquisa departamental e a sua articulação com o ensino, utilizando todos os meios e recursos necessários à consecução de seus fins; XXI propor motivadamente à Direção da Unidade a admissão, demissão e remanejamento de auxiliares de ensino e demais funcionários, dos Departamentos por proposta destes; XXII aprovar o plano de aplicação de recursos elaborados pelos Departamentos , referentes às verbas liberadas pela Direção; XXIII organizar os horários das provas finais e compatibilizar os horários de avaliações.",t3c4,long,"As atribuições do Conselho Departamental são: elaborar o Regimento da Unidade, apreciar os Regimentos dos Departamentos e órgãos auxiliares, opinar sobre convênios e aceitação de legados ou doações em benefício da Unidade, coordenar os planos de trabalho propostos pelos Departamentos, sugerir medidas e providências relativas ao ensino e à pesquisa, propor a destituição do Diretor e/ou Vice-Diretor, pronunciar-se sobre assuntos relacionados à organização universitária e aos interesses da Unidade, elaborar o orçamento da Unidade com base na manifestação dos Departamentos, promover a distribuição de recursos orçamentários, instalações, material e pessoal auxiliar entre os Departamentos, deliberar sobre as propostas dos Departamentos e apreciar recursos do Departamento em primeira instância.","(tensor([0.8354]), tensor([0.7356]), tensor([0.7823]))","{'rouge-1': {'r': 0.3090909090909091, 'p': 0.8831168831168831, 'f': 0.45791245407158004}, 'rouge-2': {'r': 0.2063953488372093, 'p': 0.696078431372549, 'f': 0.31838564669629393}, 'rouge-l': {'r': 0.2909090909090909, 'p': 0.8311688311688312, 'f': 0.4309764271355532}}"
